Epoch,Score,Tetrominoes,Cleared Lines
0,17,19,0
0,15,17,0
0,17,19,0
0,12,14,0
0,18,20,0
0,18,20,0
0,17,19,0
0,14,16,0
0,19,21,0
0,13,15,0
0,11,13,0
0,14,16,0
0,23,25,0
0,14,16,0
0,19,21,0
0,22,24,0
0,19,21,0
0,16,18,0
0,21,23,0
0,20,22,0
0,22,24,0
0,21,23,0
0,19,21,0
0,9,11,0
0,19,21,0
0,10,12,0
0,24,26,0
0,18,20,0
0,17,19,0
0,17,19,0
0,13,15,0
0,22,24,0
0,11,13,0
0,19,21,0
0,15,17,0
0,21,23,0
0,11,13,0
0,10,12,0
0,11,13,0
0,20,22,0
0,9,11,0
0,16,18,0
0,12,14,0
0,18,20,0
0,14,16,0
0,10,12,0
0,14,16,0
0,15,17,0
0,11,13,0
0,19,21,0
0,12,14,0
0,18,20,0
0,14,16,0
0,17,19,0
0,14,16,0
0,19,21,0
0,18,20,0
0,16,18,0
0,14,16,0
0,15,17,0
0,13,15,0
0,12,14,0
0,22,24,0
0,20,22,0
0,18,20,0
0,15,17,0
0,18,20,0
0,19,21,0
0,12,14,0
0,21,23,0
0,11,13,0
0,22,24,0
0,18,20,0
0,17,19,0
0,16,18,0
0,18,20,0
0,14,16,0
0,15,17,0
0,18,20,0
0,18,20,0
0,16,18,0
0,15,17,0
0,16,18,0
0,17,19,0
0,14,16,0
0,16,18,0
0,18,20,0
0,18,20,0
0,20,22,0
0,19,21,0
0,19,21,0
0,11,13,0
0,17,19,0
0,16,18,0
0,20,22,0
0,12,14,0
0,19,21,0
0,19,21,0
0,18,20,0
0,14,16,0
0,16,18,0
0,17,19,0
0,16,18,0
0,16,18,0
0,11,13,0
0,16,18,0
0,19,21,0
0,10,12,0
0,17,19,0
0,12,14,0
0,17,19,0
0,12,14,0
0,17,19,0
0,8,10,0
0,18,20,0
0,20,22,0
0,16,18,0
0,23,25,0
0,19,21,0
0,23,25,0
0,16,18,0
0,18,20,0
0,16,18,0
0,17,19,0
0,12,14,0
0,15,17,0
0,14,16,0
0,22,24,0
0,17,19,0
0,17,19,0
0,11,13,0
0,14,16,0
0,19,21,0
0,21,23,0
0,17,19,0
0,30,22,1
0,14,16,0
0,12,14,0
0,18,20,0
0,19,21,0
0,22,24,0
0,19,21,0
0,19,21,0
0,15,17,0
0,14,16,0
0,16,18,0
0,11,13,0
0,17,19,0
0,17,19,0
0,21,23,0
0,18,20,0
0,14,16,0
0,18,20,0
0,19,21,0
0,23,25,0
0,13,15,0
0,17,19,0
0,13,15,0
0,18,20,0
0,23,25,0
0,16,18,0
0,19,21,0
0,12,14,0
1,20,22,0
2,14,16,0
3,17,19,0
4,17,19,0
5,13,15,0
6,16,18,0
7,16,18,0
8,14,16,0
9,12,14,0
10,20,22,0
11,17,19,0
12,17,19,0
13,15,17,0
14,13,15,0
15,18,20,0
16,16,18,0
17,12,14,0
18,12,14,0
19,20,22,0
20,20,22,0
21,20,22,0
22,16,18,0
23,20,22,0
24,19,21,0
25,16,18,0
26,21,23,0
27,23,25,0
28,15,17,0
29,18,20,0
30,15,17,0
31,22,24,0
32,17,19,0
33,15,17,0
34,17,19,0
35,15,17,0
36,15,17,0
37,24,26,0
38,11,13,0
39,12,14,0
40,12,14,0
41,17,19,0
42,15,17,0
43,11,13,0
44,18,20,0
45,18,20,0
46,14,16,0
47,21,23,0
48,11,13,0
49,21,23,0
50,15,17,0
51,21,23,0
52,13,15,0
53,19,21,0
54,16,18,0
55,17,19,0
56,22,24,0
57,19,21,0
58,17,19,0
59,14,16,0
60,15,17,0
61,18,20,0
62,11,13,0
63,18,20,0
64,19,21,0
65,14,16,0
66,19,21,0
67,12,14,0
68,15,17,0
69,19,21,0
70,15,17,0
71,13,15,0
72,15,17,0
73,15,17,0
74,22,24,0
75,22,24,0
76,20,22,0
77,19,21,0
78,25,27,0
79,17,19,0
80,18,20,0
81,20,22,0
82,15,17,0
83,14,16,0
84,16,18,0
85,18,20,0
86,11,13,0
87,10,12,0
88,9,11,0
89,20,22,0
90,15,17,0
91,16,18,0
92,15,17,0
93,18,20,0
94,17,19,0
95,15,17,0
96,10,12,0
97,13,15,0
98,17,19,0
99,13,15,0
100,11,13,0
101,16,18,0
102,14,16,0
103,17,19,0
104,10,12,0
105,15,17,0
106,11,13,0
107,19,21,0
108,12,14,0
109,14,16,0
110,19,21,0
111,17,19,0
112,18,20,0
113,18,20,0
114,18,20,0
115,13,15,0
116,16,18,0
117,20,22,0
118,15,17,0
119,16,18,0
